mode,subject,acc_mean,acc_std,f1_macro_mean,f1_macro_std,n_epochs,n_classes,crop,motor_only,zscore_epoch,n_csp,fb_bands
intra,S001,0.2944,0.1335,0.251,0.1478,88,4,"(0.5, 3.5)",True,True,6,11
intra,S002,0.4514,0.099,0.4167,0.1333,84,4,"(0.5, 3.5)",True,True,6,11
intra,S003,0.4125,0.1312,0.3744,0.1434,83,4,"(0.5, 3.5)",True,True,6,11
intra,S004,0.4393,0.1217,0.3773,0.1378,72,4,"(0.5, 3.5)",True,True,6,11
intra,S001,0.3181,0.2129,0.2952,0.2109,88,4,"(0.5, 4.5)",True,True,6,11
intra,S002,0.4236,0.146,0.39,0.1505,84,4,"(0.5, 4.5)",True,True,6,11
intra,S003,0.3139,0.1496,0.2796,0.1565,83,4,"(0.5, 4.5)",True,True,6,11
intra,S004,0.4179,0.1084,0.371,0.1195,72,4,"(0.5, 4.5)",True,True,6,11
intra,S001,0.8528,0.0494,0.8429,0.0443,88,4,"(0.5, 4.5)",False,True,6,11
intra,S002,0.7972,0.1318,0.7901,0.1299,84,4,"(0.5, 4.5)",False,True,6,11
intra,S003,0.4097,0.2014,0.361,0.2029,83,4,"(0.5, 4.5)",False,True,6,11
intra,S004,0.5411,0.1273,0.4375,0.12,72,4,"(0.5, 4.5)",False,True,6,11
intra,S001,0.9333,0.0544,0.9248,0.0622,88,4,"(0.5, 4.5)",False,False,6,11
intra,S002,0.7847,0.106,0.7756,0.1117,84,4,"(0.5, 4.5)",False,False,6,11
intra,S003,0.5028,0.126,0.4867,0.1276,83,4,"(0.5, 4.5)",False,False,6,11
intra,S004,0.7589,0.2016,0.701,0.2547,72,4,"(0.5, 4.5)",False,False,6,11
intra,S001,0.4792,0.1314,0.4021,0.1532,88,4,"(1.4, 1.9)",False,False,6,11
intra,S001,0.8083,0.1099,0.8008,0.1052,88,4,"(0.9, 2.9)",False,True,6,11
intra,S001,0.5653,0.1564,0.5169,0.1832,88,4,"(1.3, 2.3)",False,True,6,11
intra,S001,0.875,0.0921,0.8592,0.1088,88,4,"(0.5, 3.5)",False,False,6,11
intra,S002,0.8819,0.0706,0.8789,0.0684,84,4,"(0.5, 3.5)",False,False,6,11
intra,S003,0.5069,0.0932,0.4701,0.1192,83,4,"(0.5, 3.5)",False,False,6,11
intra,S004,0.8304,0.1075,0.8008,0.1401,72,4,"(0.5, 3.5)",False,False,6,11
intra,S001,0.9333,0.0544,0.9248,0.0622,88,4,"(0.5, 4.5)",False,False,6,11
intra,S002,0.7847,0.106,0.7756,0.1117,84,4,"(0.5, 4.5)",False,False,6,11
intra,S001,0.8972,0.0963,0.8814,0.1159,88,4,"(0.5, 4.5)",False,False,6,11
intra,S002,0.8222,0.1061,0.801,0.1234,84,4,"(0.5, 4.5)",False,False,6,11
intra,S003,0.4958,0.1483,0.4355,0.1689,86,4,"(0.5, 4.5)",False,False,6,11
intra,S001,0.8875,0.1112,0.8731,0.1222,89,4,"(0.5, 4.5)",False,False,6,11
intra,S002,0.6792,0.1387,0.6521,0.1458,84,4,"(0.5, 4.5)",False,False,6,11
intra,S003,0.5889,0.1319,0.5249,0.1588,90,4,"(0.5, 4.5)",False,False,6,11
intra,S001,0.9107,0.081,0.9,0.1,77,4,"(0.5, 4.5)",False,False,6,11
intra,S002,0.8589,0.134,0.84,0.1615,79,4,"(0.5, 4.5)",False,False,6,11
intra,S003,0.4467,0.1863,0.395,0.1934,52,4,"(0.5, 4.5)",False,False,6,11
intra,S004,0.7,0.1789,0.6667,0.2067,53,4,"(0.5, 4.5)",False,False,6,11
intra,S001,0.6167,0.1198,0.5921,0.1415,88,4,"(0.5, 4.5)",True,False,6,11
intra,S002,0.6556,0.1558,0.6325,0.1739,84,4,"(0.5, 4.5)",True,False,6,11
intra,S003,0.5431,0.1456,0.5093,0.1719,83,4,"(0.5, 4.5)",True,False,6,11
intra,S004,0.5429,0.1163,0.4925,0.1113,72,4,"(0.5, 4.5)",True,False,6,11
intra,S001,0.6139,0.1245,0.5837,0.1508,88,4,"(0.5, 4.5)",True,False,4,11
intra,S002,0.6764,0.1622,0.6433,0.1836,84,4,"(0.5, 4.5)",True,False,4,11
intra,S003,0.5528,0.1676,0.5111,0.1984,83,4,"(0.5, 4.5)",True,False,4,11
intra,S004,0.5857,0.1836,0.5282,0.201,72,4,"(0.5, 4.5)",True,False,4,11
intra,S001,0.5236,0.1717,0.4968,0.1748,88,4,"(0.5, 4.5)",True,True,4,11
intra,S002,0.6306,0.1332,0.5885,0.1396,84,4,"(0.5, 4.5)",True,True,4,11
intra,S003,0.5472,0.1764,0.506,0.1871,83,4,"(0.5, 4.5)",True,True,4,11
intra,S004,0.4464,0.125,0.3993,0.1083,72,4,"(0.5, 4.5)",True,True,4,11
intra,S001,0.5667,0.1356,0.5646,0.118,90,4,"(0.5, 4.5)",False,True,4,11
intra,S002,0.6931,0.147,0.6742,0.1456,84,4,"(0.5, 4.5)",False,True,4,11
intra,S003,0.4667,0.2155,0.419,0.2327,90,4,"(0.5, 4.5)",False,True,4,11
intra,S004,0.5486,0.1569,0.5233,0.1759,84,4,"(0.5, 4.5)",False,True,4,11
intra,S001,0.5222,0.1495,0.5008,0.148,90,4,"(0.5, 4.5)",False,True,6,11
intra,S001,0.6111,0.1667,0.6017,0.17,90,4,"(0.5, 4.5)",False,True,3,11
intra,S002,0.6569,0.1412,0.6275,0.1448,84,4,"(0.5, 4.5)",False,True,3,11
intra,S003,0.4778,0.141,0.4219,0.1553,90,4,"(0.5, 4.5)",False,True,3,11
intra,S004,0.5847,0.1654,0.5519,0.1786,84,4,"(0.5, 4.5)",False,True,3,11
intra,S001,0.5778,0.1707,0.558,0.1751,90,4,"(0.5, 4.5)",False,True,2,11
intra,S001,0.5889,0.1707,0.54,0.1583,90,4,"(0.5, 4.5)",False,True,4,11
intra,S001,0.6333,0.1089,0.5789,0.1476,90,4,"(0.5, 4.5)",False,False,4,11
intra,S001,0.6556,0.1262,0.6335,0.1459,90,4,"(0.5, 4.5)",False,False,4,11
intra,S002,0.6792,0.1691,0.6575,0.1894,84,4,"(0.5, 4.5)",False,False,4,11
